epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.69355,2.01667,4.0959,1.21922,0.00513,0.07641,0.009,0.0029,1.86744,3.95663,1.09823,0.0001125,0.0001125,0.0001125
2,2.76716,1.8214,2.97995,1.06198,0.01801,0.30467,0.06913,0.02445,1.6748,3.63625,1.03618,0.000232798,0.000232798,0.000232798
3,3.80003,1.83028,2.04582,1.04207,0.03438,0.50751,0.17233,0.06542,1.81255,3.13139,1.06408,0.000348145,0.000348145,0.000348145
4,4.87764,1.75398,1.74153,1.04707,0.03868,0.72451,0.38024,0.18278,1.70679,2.59739,1.0495,0.000458542,0.000458542,0.000458542
5,5.86025,1.69918,1.5804,1.05309,0.03987,0.44937,0.20243,0.09685,1.7076,2.86464,1.09143,0.00056399,0.00056399,0.00056399
6,6.81621,1.65329,1.4547,1.04387,0.02674,0.29025,0.14876,0.07367,1.66437,3.35058,1.11925,0.000664488,0.000664488,0.000664488
7,7.77023,1.61292,1.33836,1.03351,0.02647,0.34954,0.22959,0.11037,1.71249,3.28492,1.12809,0.000760035,0.000760035,0.000760035
8,8.75588,1.59572,1.20899,1.04456,0.88353,0.10062,0.44648,0.22886,1.63444,2.71317,1.08614,0.000850632,0.000850632,0.000850632
9,9.72833,1.61653,1.15659,1.03408,0.95356,0.35974,0.64455,0.33999,1.58231,2.25083,1.08212,0.00093628,0.00093628,0.00093628
10,10.6612,1.62144,1.12219,1.03804,0.94762,0.50728,0.67835,0.34606,1.65887,1.93079,1.0921,0.00101698,0.00101698,0.00101698
11,11.6127,1.58692,1.09524,1.01977,0.94182,0.60544,0.70099,0.39006,1.5445,1.58141,1.05447,0.0010025,0.0010025,0.0010025
12,12.5982,1.58284,1.08723,1.01773,0.97125,0.64495,0.71101,0.3862,1.61282,1.49016,1.07618,0.00097775,0.00097775,0.00097775
13,13.6178,1.55499,1.02429,1.01295,0.87123,0.60363,0.69969,0.35998,1.6925,1.45774,1.09233,0.000953,0.000953,0.000953
14,14.6822,1.53552,1.01205,1.01395,0.94265,0.64821,0.70525,0.39948,1.57608,1.27389,1.04541,0.00092825,0.00092825,0.00092825
15,15.6661,1.50334,1.0098,1.0009,0.95552,0.64896,0.72523,0.41321,1.55018,1.25532,1.02818,0.0009035,0.0009035,0.0009035
16,16.7154,1.51753,0.96195,0.98955,0.96155,0.6657,0.73447,0.40583,1.59899,1.11111,1.04966,0.00087875,0.00087875,0.00087875
17,17.6655,1.49915,0.94524,0.99396,0.95954,0.66358,0.74559,0.42729,1.5365,0.97903,1.03398,0.000854,0.000854,0.000854
18,18.647,1.48783,0.95862,0.99818,0.97625,0.67789,0.75604,0.43401,1.49027,0.9586,1.01169,0.00082925,0.00082925,0.00082925
19,19.5847,1.4666,0.90554,0.98111,0.95985,0.67942,0.75828,0.4241,1.53812,0.93166,1.03241,0.0008045,0.0008045,0.0008045
20,20.5703,1.4781,0.90523,0.98472,0.95578,0.68506,0.76939,0.4011,1.63542,0.97466,1.07738,0.00077975,0.00077975,0.00077975
21,21.5903,1.49685,0.94009,1.00147,0.8954,0.72947,0.78299,0.44706,1.47613,0.89399,1.02557,0.000755,0.000755,0.000755
22,22.5623,1.45707,0.88273,0.98451,0.92638,0.72307,0.77757,0.41585,1.64282,0.84186,1.08458,0.00073025,0.00073025,0.00073025
23,23.5124,1.52203,0.90671,1.00376,0.96537,0.71516,0.79123,0.44245,1.49191,0.81592,1.02509,0.0007055,0.0007055,0.0007055
24,24.4825,1.53161,0.90288,1.01663,0.92438,0.73499,0.77392,0.44064,1.50806,0.83677,1.01567,0.00068075,0.00068075,0.00068075
25,25.4388,1.47268,0.88783,0.98672,0.88199,0.75639,0.7788,0.44211,1.52086,0.80567,1.02726,0.000656,0.000656,0.000656
26,26.3954,1.47122,0.86418,0.98108,0.88446,0.76828,0.78934,0.44304,1.48849,0.79209,1.01838,0.00063125,0.00063125,0.00063125
27,27.4475,1.48198,0.8618,0.98396,0.92076,0.77177,0.80793,0.473,1.37785,0.76884,0.99807,0.0006065,0.0006065,0.0006065
28,28.4514,1.40756,0.83669,0.96723,0.935,0.76903,0.80597,0.4519,1.50921,0.78257,1.02275,0.00058175,0.00058175,0.00058175
29,29.4171,1.41391,0.82863,0.97151,0.93921,0.77286,0.81311,0.46182,1.44859,0.77836,1.00326,0.000557,0.000557,0.000557
30,30.3811,1.43657,0.83977,0.95398,0.9144,0.75634,0.79159,0.45033,1.48862,0.76268,1.01184,0.00053225,0.00053225,0.00053225
31,31.4016,1.39996,0.82348,0.9658,0.92905,0.75864,0.79406,0.4416,1.50037,0.76799,1.01388,0.0005075,0.0005075,0.0005075
32,32.3514,1.40038,0.81295,0.97943,0.90446,0.75579,0.79584,0.43353,1.49059,0.76623,1.01374,0.00048275,0.00048275,0.00048275
33,33.3202,1.40194,0.80688,0.97833,0.95708,0.77841,0.81872,0.43913,1.48829,0.75885,1.01392,0.000458,0.000458,0.000458
34,34.2678,1.39296,0.79235,0.95576,0.94311,0.77996,0.81944,0.45,1.51688,0.75216,1.02519,0.00043325,0.00043325,0.00043325
35,35.2303,1.41236,0.80958,0.96422,0.91782,0.77705,0.80273,0.45425,1.49176,0.75431,1.01714,0.0004085,0.0004085,0.0004085
36,36.1833,1.40354,0.80666,0.96787,0.97203,0.77854,0.82075,0.46975,1.44752,0.74563,1.00722,0.00038375,0.00038375,0.00038375
37,37.1333,1.39064,0.7834,0.97173,0.956,0.7755,0.81949,0.45853,1.50172,0.75503,1.02468,0.000359,0.000359,0.000359
38,38.1154,1.39774,0.78975,0.97614,0.97052,0.78086,0.82532,0.46637,1.47192,0.72683,1.0184,0.00033425,0.00033425,0.00033425
39,39.0657,1.36302,0.78989,0.96025,0.97482,0.78818,0.82627,0.4564,1.49495,0.74276,1.01864,0.0003095,0.0003095,0.0003095
40,40.037,1.38535,0.80279,0.95724,0.96015,0.77977,0.82131,0.46555,1.47372,0.7315,1.00828,0.00028475,0.00028475,0.00028475
41,53.7988,1.35261,0.83547,0.98826,0.94524,0.78535,0.81967,0.45545,1.51388,0.75392,1.02057,0.00026,0.00026,0.00026
42,54.7651,1.3662,0.82986,0.9635,0.92621,0.76589,0.79595,0.43957,1.52523,0.7774,1.02817,0.00023525,0.00023525,0.00023525
